Opponent,Rank,Points,Win,Draw,Loose,win_rate,draw-rate,loose_rate,Result
Algeria,135,53.9,0,0,0,0,0,0,1
Vietnam,136,53.2,0,0,0,0,0,0,1
Tonga,137,52.4,0,0,0,0,0,0,1
Bangladesh,138,50,0,0,0,0,0,0,1
America Samoa,139,49.2,0,0,0,0,0,0,1
Somalia,140,48.7,0,0,0,0,0,0,1
Equatorial Guinea,141,48.6,0,0,0,0,0,0,1
Benin,142,48.1,0,0,0,0,0,0,1
Zambia,143,46.7,0,0,0,0,0,0,1
Gibraltar,144,44.2,0,0,0,0,0,0,1
Bhutan,145,44.1,0,0,0,0,0,0,1
Moldova,146,43.8,0,0,0,0,0,0,1
Brunei Darussalam,147,42.7,0,0,0,0,0,0,1
Guatemala,148,41.5,0,0,0,0,0,0,1
Tanzania,149,40.6,0,0,0,0,0,0,1
Zimbabwe,150,39.2,0,0,0,0,0,0,1
Oman,151,36.6,0,0,0,0,0,0,1
Macau,152,34.9,0,0,0,0,0,0,1
Gabon,153,33.5,0,0,0,0,0,0,1
St. Lucia,154,30.8,0,0,0,0,0,0,1
Nepal,155,28.6,0,0,0,0,0,0,1
Fiji,156,27.5,0,0,0,0,0,0,1
Cambodia,157,27,0,0,0,0,0,0,1
Myanmar,158,25.5,0,0,0,0,0,0,1
Haiti,159,22.4,0,0,0,0,0,0,1
Eritrea,160,20.3,0,0,0,0,0,0,1
Cook Islands,161,19,0,0,0,0,0,0,1
Ivory Coast,162,0,0,0,2,0,0,1,1
